Processes,Size,Latency
34,16,3.66
34,32,3.86
34,64,3.77
34,128,7.21
34,256,7.48
34,512,7.78
34,1024,8.53
34,2048,13.06
34,4096,17.62
34,8192,25.63
34,16384,26.50
34,32768,52.07
34,65536,112.85
34,131072,247.17
34,262144,499.14
34,524288,1016.57
34,1048576,1909.13
36,2,3.57
36,4,3.63
36,8,3.60
36,16,3.64
36,32,3.79
36,64,3.70
36,128,7.83
36,256,8.08
36,512,8.45
36,1024,9.17
36,2048,14.10
36,4096,19.08
36,8192,27.62
36,16384,27.15
36,32768,50.21
36,65536,71.34
36,131072,245.15
36,262144,515.22
36,524288,1087.27
36,1048576,2058.94
38,2,3.73
38,4,3.68
38,8,3.70
38,16,3.75
38,32,3.90
38,64,3.89
38,128,8.64
38,256,8.99
38,512,9.75
38,1024,10.22
38,2048,15.16
38,4096,20.56
38,8192,29.43
38,16384,28.44
38,32768,55.59
38,65536,132.43
38,131072,326.01
38,262144,578.90
