Processes,Size,Latency
2,2,0.21
2,4,0.19
2,8,0.20
2,16,0.20
2,32,0.24
2,64,0.23
2,128,0.32
2,256,0.33
2,512,0.42
2,1024,0.43
2,2048,0.55
2,4096,0.86
2,8192,1.36
2,16384,3.05
2,32768,5.18
2,65536,6.92
2,131072,9.80
2,262144,15.28
2,524288,27.94
2,1048576,61.98
4,2,0.79
4,4,0.77
4,8,0.83
4,16,0.80
4,32,1.24
4,64,1.14
4,128,1.94
4,256,1.89
4,512,2.17
4,1024,2.56
4,2048,3.52
4,4096,5.28
4,8192,8.42
4,16384,16.54
4,32768,27.50
4,65536,42.10
4,131072,74.77
4,262144,135.36
4,524288,250.14
4,1048576,486.56
6,2,1.46
6,4,1.44
6,8,1.44
6,16,1.45
6,32,2.39
6,64,2.00
6,128,3.11
6,256,3.24
6,512,3.62
6,1024,4.26
6,2048,5.80
6,4096,8.38
6,8192,13.16
6,16384,25.31
6,32768,41.05
6,65536,72.93
6,131072,149.92
6,262144,297.24
6,524288,593.56
6,1048576,1016.66
8,2,2.23
8,4,2.19
8,8,2.15
8,16,2.23
8,32,3.18
8,64,3.02
8,128,4.45
8,256,4.64
8,512,5.27
8,1024,6.09
8,2048,8.17
8,4096,11.38
8,8192,18.02
8,16384,34.50
8,32768,58.12
8,65536,88.78
8,131072,196.50
8,262144,344.25
8,524288,680.54
8,1048576,1217.15
10,2,3.03
10,4,3.03
10,8,3.13
10,16,3.04
10,32,4.21
10,64,4.06
10,128,6.05
10,256,6.17
10,512,7.14
10,1024,8.28
10,2048,10.80
10,4096,14.70
10,8192,22.89
10,16384,44.17
10,32768,73.13
10,65536,119.78
10,131072,218.11
10,262144,411.30
10,524288,828.02
10,1048576,1569.10
12,2,3.51
12,4,3.86
12,8,3.44
12,16,3.42
12,32,5.10
12,64,4.60
12,128,7.26
12,256,7.39
12,512,8.43
12,1024,9.87
12,2048,12.76
12,4096,17.65
12,8192,27.46
12,16384,55.35
12,32768,83.77
12,65536,135.54
12,131072,266.31
12,262144,497.58
12,524288,958.75
12,1048576,1923.56
14,2,3.84
14,4,4.50
14,8,3.82
14,16,3.79
14,32,6.00
14,64,5.21
14,128,8.24
14,256,8.54
14,512,9.71
14,1024,11.66
14,2048,14.95
14,4096,20.48
14,8192,31.75
14,16384,59.04
14,32768,99.32
14,65536,157.21
14,131072,304.08
14,262144,630.60
14,524288,1082.64
14,1048576,2112.57
16,2,4.41
16,4,5.05
16,8,4.44
16,16,4.45
16,32,6.62
16,64,6.02
16,128,9.81
16,256,9.90
16,512,11.09
16,1024,12.74
16,2048,16.75
16,4096,23.49
16,8192,36.41
16,16384,69.15
16,32768,108.52
16,65536,185.86
16,131072,330.66
16,262144,663.00
16,524288,1234.84
16,1048576,2430.46
18,2,5.27
18,4,5.22
18,8,5.21
18,16,5.18
18,32,7.55
18,64,7.09
18,128,11.20
18,256,11.56
18,512,12.76
18,1024,14.92
18,2048,19.60
18,4096,26.54
18,8192,41.55
18,16384,77.13
18,32768,125.27
18,65536,208.10
18,131072,370.81
18,262144,713.57
18,524288,1412.41
18,1048576,2753.02
20,2,6.43
20,4,5.77
20,8,5.72
20,16,5.74
20,32,8.50
20,64,7.69
20,128,12.91
20,256,12.90
20,512,14.24
20,1024,16.70
20,2048,21.73
20,4096,29.58
20,8192,45.85
20,16384,89.12
20,32768,133.73
20,65536,226.94
20,131072,420.19
20,262144,799.27
20,524288,1549.97
20,1048576,3010.86
22,2,7.10
22,4,6.07
22,8,6.05
22,16,6.15
22,32,9.07
22,64,8.41
22,128,13.63
22,256,14.01
22,512,15.45
22,1024,18.45
22,2048,23.69
22,4096,32.54
22,8192,50.39
22,16384,92.49
22,32768,146.56
22,65536,248.52
22,131072,473.86
22,262144,875.39
22,524288,1754.05
22,1048576,3339.94
24,2,7.75
24,4,6.73
24,8,6.72
24,16,6.73
24,32,10.22
24,64,9.14
24,128,15.17
24,256,15.67
24,512,17.38
24,1024,21.05
24,2048,26.79
24,4096,36.29
24,8192,56.92
24,16384,104.86
24,32768,166.76
24,65536,297.53
24,131072,530.46
24,262144,1061.44
24,524288,1992.83
24,1048576,3863.61
26,2,6.74
26,4,6.75
26,8,6.72
26,16,6.65
26,32,10.60
26,64,9.34
26,128,16.08
26,256,16.74
26,512,18.30
26,1024,22.31
26,2048,28.47
26,4096,38.46
26,8192,60.20
26,16384,113.17
26,32768,180.33
26,65536,301.12
26,131072,567.38
26,262144,1074.28
26,524288,2157.98
26,1048576,4200.05
28,2,7.29
28,4,7.26
28,8,7.19
28,16,7.26
28,32,11.19
28,64,10.09
28,128,17.33
28,256,17.75
28,512,19.73
28,1024,23.94
28,2048,30.82
28,4096,41.92
28,8192,65.60
28,16384,121.08
28,32768,198.78
28,65536,343.43
28,131072,602.59
28,262144,1171.61
28,524288,2251.82
28,1048576,4447.88
30,2,7.58
30,4,7.52
30,8,7.48
30,16,7.58
30,32,12.26
30,64,10.46
30,128,18.47
30,256,19.54
30,512,21.06
30,1024,25.44
30,2048,32.70
30,4096,44.50
30,8192,69.98
30,16384,129.58
30,32768,209.04
30,65536,339.91
30,131072,655.16
30,262144,1222.79
30,524288,2387.44
