Processes,Size,Latency
2,2,0.21
2,4,0.19
2,8,0.20
2,16,0.20
2,32,0.24
2,64,0.23
2,128,0.31
2,256,0.34
2,512,0.37
2,1024,0.44
2,2048,0.56
2,4096,0.84
2,8192,1.36
2,16384,3.03
2,32768,5.54
2,65536,6.89
2,131072,9.84
2,262144,15.46
2,524288,28.84
2,1048576,62.46
4,2,0.57
4,4,0.57
4,8,0.56
4,16,0.56
4,32,0.90
4,64,0.87
4,128,1.10
4,256,1.15
4,512,1.30
4,1024,1.60
4,2048,2.45
4,4096,3.50
4,8192,5.25
4,16384,9.60
4,32768,15.68
4,65536,20.92
4,131072,33.00
4,262144,53.84
4,524288,92.44
4,1048576,244.59
6,2,0.78
6,4,0.78
6,8,0.75
6,16,0.76
6,32,0.93
6,64,0.93
6,128,1.45
6,256,1.60
6,512,1.66
6,1024,2.03
6,2048,3.04
6,4096,4.23
6,8192,6.23
6,16384,11.23
6,32768,17.35
6,65536,31.62
6,131072,61.84
6,262144,104.49
6,524288,239.11
6,1048576,467.03
8,2,1.01
8,4,1.01
8,8,1.05
8,16,1.01
8,32,1.43
8,64,1.43
8,128,2.18
8,256,1.99
8,512,2.19
8,1024,2.50
8,2048,3.44
8,4096,4.70
8,8192,6.86
8,16384,13.16
8,32768,19.58
8,65536,36.86
8,131072,74.88
8,262144,137.33
8,524288,277.98
8,1048576,450.18
10,2,1.19
10,4,1.20
10,8,1.16
10,16,1.18
10,32,1.59
10,64,1.57
10,128,2.05
10,256,2.02
10,512,2.36
10,1024,2.83
10,2048,3.86
10,4096,5.26
10,8192,7.52
10,16384,14.56
10,32768,23.88
10,65536,43.74
10,131072,82.19
10,262144,153.47
10,524288,311.64
10,1048576,589.12
12,2,1.15
12,4,1.23
12,8,1.18
12,16,1.11
12,32,1.53
12,64,1.48
12,128,2.12
12,256,2.13
12,512,2.40
12,1024,2.82
12,2048,3.88
12,4096,5.39
12,8192,7.87
12,16384,15.30
12,32768,25.99
12,65536,45.65
12,131072,86.38
12,262144,169.78
12,524288,355.67
12,1048576,646.83
14,2,1.08
14,4,1.06
14,8,1.03
14,16,1.12
14,32,1.37
14,64,1.38
14,128,2.06
14,256,2.07
14,512,2.28
14,1024,2.82
14,2048,3.91
14,4096,5.51
14,8192,8.12
14,16384,16.07
14,32768,25.60
14,65536,49.98
14,131072,86.75
14,262144,176.61
14,524288,347.97
14,1048576,640.90
16,2,1.25
16,4,1.27
16,8,1.25
16,16,1.25
16,32,1.83
16,64,1.94
16,128,2.25
16,256,2.33
16,512,2.62
16,1024,2.99
16,2048,4.17
16,4096,5.83
16,8192,8.54
16,16384,17.67
16,32768,28.75
16,65536,50.26
16,131072,96.56
16,262144,191.23
16,524288,376.73
16,1048576,690.85
18,2,1.47
18,4,1.51
18,8,1.45
18,16,1.44
18,32,1.88
18,64,2.04
18,128,2.44
18,256,2.51
18,512,2.85
18,1024,3.34
18,2048,4.59
18,4096,6.22
18,8192,9.04
18,16384,18.62
18,32768,28.86
18,65536,52.26
18,131072,99.30
18,262144,188.91
18,524288,383.17
18,1048576,714.61
20,2,1.34
20,4,1.40
20,8,1.49
20,16,1.40
20,32,2.12
20,64,1.86
20,128,2.42
20,256,2.46
20,512,2.78
20,1024,3.32
20,2048,4.45
20,4096,6.03
20,8192,9.12
20,16384,18.83
20,32768,30.24
20,65536,56.21
20,131072,90.92
20,262144,210.60
20,524288,422.05
20,1048576,720.09
22,2,1.37
22,4,1.37
22,8,1.38
22,16,1.38
22,32,1.78
22,64,1.73
22,128,2.27
22,256,2.40
22,512,2.64
22,1024,3.33
22,2048,4.52
22,4096,6.24
22,8192,8.98
22,16384,19.32
22,32768,29.78
22,65536,56.19
22,131072,108.70
22,262144,182.14
22,524288,367.21
22,1048576,804.11
24,2,1.38
24,4,1.40
24,8,1.39
24,16,1.34
24,32,2.03
24,64,1.71
24,128,2.49
24,256,2.54
24,512,2.75
24,1024,3.40
24,2048,4.60
24,4096,6.33
24,8192,9.35
24,16384,20.05
24,32768,32.28
24,65536,58.57
24,131072,110.95
24,262144,203.60
24,524288,436.57
24,1048576,802.98
26,2,1.30
26,4,1.21
26,8,1.31
26,16,1.26
26,32,1.48
26,64,1.54
26,128,2.18
26,256,2.28
26,512,2.45
26,1024,3.07
26,2048,4.29
26,4096,6.17
26,8192,9.43
26,16384,19.14
26,32768,32.38
26,65536,56.88
26,131072,113.49
26,262144,196.78
26,524288,435.71
26,1048576,805.12
28,2,1.22
28,4,1.26
28,8,1.24
28,16,1.27
28,32,1.44
28,64,1.56
28,128,2.12
28,256,2.26
28,512,2.39
28,1024,3.10
28,2048,4.42
28,4096,6.44
28,8192,9.70
28,16384,20.00
28,32768,31.28
28,65536,58.50
28,131072,117.24
28,262144,226.94
28,524288,444.33
28,1048576,865.28
30,2,1.25
30,4,1.53
30,8,1.27
30,16,1.24
30,32,1.41
30,64,1.56
30,128,2.10
30,256,2.14
30,512,2.38
30,1024,3.00
30,2048,4.36
30,4096,6.38
30,8192,9.78
30,16384,19.89
30,32768,32.33
30,65536,61.17
30,131072,117.78
30,262144,233.37
30,524288,452.40
30,1048576,893.23
32,2,1.78
32,4,1.72
32,8,1.90
32,16,1.78
32,32,2.35
32,64,2.30
32,128,3.02
32,256,3.15
32,512,3.55
32,1024,3.96
32,2048,5.53
32,4096,7.57
32,8192,11.38
32,16384,21.88
32,32768,34.60
32,65536,61.66
32,131072,124.06
32,262144,242.07
32,524288,476.81
32,1048576,914.60
34,2,3.81
34,4,4.13
34,8,3.77
34,16,3.79
34,32,4.17
34,64,4.14
34,128,5.13
34,256,5.04
34,512,5.28
34,1024,5.96
34,2048,7.56
34,4096,10.16
34,8192,13.89
34,16384,24.34
34,32768,37.51
34,65536,65.52
34,131072,122.88
34,262144,232.21
34,524288,466.48
34,1048576,838.67
36,2,3.47
36,4,3.71
36,8,3.49
36,16,3.51
36,32,3.76
36,64,3.82
36,128,4.62
36,256,4.78
36,512,5.03
36,1024,5.74
36,2048,7.29
36,4096,9.80
36,8192,13.82
36,16384,24.38
36,32768,37.66
36,65536,64.07
36,131072,115.20
36,262144,244.13
36,524288,482.77
36,1048576,943.71
38,2,3.31
38,4,3.60
38,8,3.30
38,16,3.34
38,32,3.76
38,64,3.76
38,128,4.57
38,256,4.68
38,512,4.94
38,1024,5.64
38,2048,7.32
38,4096,10.04
38,8192,14.26
38,16384,25.29
38,32768,38.44
38,65536,66.05
38,131072,135.11
38,262144,270.76
38,524288,550.87
38,1048576,1076.06
40,2,3.20
40,4,3.28
40,8,3.16
40,16,3.18
40,32,3.53
40,64,3.68
40,128,4.38
40,256,4.56
40,512,4.83
40,1024,5.56
40,2048,7.24
40,4096,10.02
40,8192,15.27
40,16384,24.96
40,32768,39.47
40,65536,69.74
40,131072,149.72
40,262144,300.60
40,524288,618.25
40,1048576,1222.50
42,2,3.12
42,4,3.11
42,8,3.12
42,16,3.05
42,32,3.41
42,64,3.61
42,128,4.39
42,256,4.54
42,512,4.75
42,1024,5.51
42,2048,7.39
42,4096,10.28
42,8192,15.84
42,16384,25.84
42,32768,41.75
42,65536,74.88
42,131072,169.40
42,262144,342.49
42,524288,653.33
42,1048576,1390.85
44,2,2.90
44,4,3.20
44,8,2.92
44,16,2.93
44,32,3.25
44,64,3.47
44,128,4.19
44,256,4.43
44,512,4.64
44,1024,5.43
44,2048,7.28
44,4096,10.46
44,8192,16.06
44,16384,26.32
44,32768,42.76
44,65536,78.74
44,131072,183.28
44,262144,371.72
44,524288,716.36
44,1048576,1376.32
46,2,2.84
46,4,2.91
46,8,2.85
46,16,2.88
46,32,3.12
46,64,3.47
46,128,4.13
46,256,4.44
46,512,4.60
46,1024,5.49
46,2048,7.54
46,4096,10.96
46,8192,16.93
46,16384,27.34
46,32768,44.95
46,65536,85.54
46,131072,201.37
46,262144,374.99
46,524288,819.62
46,1048576,1598.80
48,2,2.78
48,4,2.82
48,8,2.78
48,16,2.78
48,32,3.12
48,64,3.37
48,128,4.08
48,256,4.41
48,512,4.71
48,1024,5.54
48,2048,7.90
48,4096,11.18
48,8192,18.11
48,16384,28.60
48,32768,49.40
48,65536,92.99
48,131072,210.14
48,262144,437.54
48,524288,817.22
48,1048576,1718.82
