Processes,Size,Latency
2,2,0.13
2,4,0.14
2,8,0.13
2,16,0.12
2,32,0.14
2,64,0.13
2,128,0.19
2,256,0.24
2,512,0.26
2,1024,0.26
2,2048,0.31
2,4096,0.38
2,8192,0.54
2,16384,3.82
2,32768,4.32
2,65536,5.91
2,131072,10.48
2,262144,25.32
2,524288,51.37
2,1048576,97.44
4,2,0.14
4,4,0.13
4,8,0.13
4,16,0.13
4,32,0.14
4,64,0.13
4,128,0.27
4,256,0.31
4,512,0.32
4,1024,0.35
4,2048,0.47
4,4096,0.70
4,8192,1.12
4,16384,4.06
4,32768,5.06
4,65536,7.83
4,131072,16.49
4,262144,37.85
4,524288,84.07
4,1048576,165.88
8,2,0.95
8,4,0.99
8,8,0.96
8,16,0.99
8,32,1.03
8,64,1.06
8,128,1.85
8,256,1.69
8,512,1.88
8,1024,1.87
8,2048,2.56
8,4096,3.53
8,8192,4.89
8,16384,6.58
8,32768,12.69
8,65536,25.43
8,131072,51.32
8,262144,95.11
8,524288,228.20
8,1048576,495.41
16,2,1.71
16,4,1.66
16,8,1.65
16,16,1.66
16,32,1.80
16,64,1.78
16,128,3.13
16,256,3.26
16,512,3.82
16,1024,4.10
16,2048,5.79
16,4096,8.04
16,8192,11.05
16,16384,11.30
16,32768,23.97
16,65536,54.33
16,131072,109.16
16,262144,232.78
16,524288,397.48
16,1048576,765.68
32,2,3.27
32,4,3.15
32,8,3.16
32,16,3.15
32,32,3.38
32,64,3.36
32,128,6.85
32,256,7.03
32,512,7.52
32,1024,8.33
32,2048,12.62
32,4096,17.23
32,8192,24.34
32,16384,23.67
32,32768,52.09
32,65536,112.51
32,131072,231.87
32,262144,467.84
32,524288,953.65
32,1048576,1743.71
64,2,5.04
64,4,5.40
64,8,5.33
64,16,5.19
64,32,6.01
64,64,5.54
64,128,14.99
64,256,15.57
64,512,15.66
64,1024,17.17
64,2048,27.34
64,4096,36.79
64,8192,60.64
64,16384,55.51
64,32768,85.38
64,65536,230.75
64,131072,488.44
64,262144,1003.10
64,524288,1495.29
64,1048576,3443.62
128,2,13.90
128,4,14.63
128,8,14.06
128,16,14.36
128,32,15.64
128,64,15.76
128,128,37.83
128,256,39.29
128,512,39.12
128,1024,42.25
128,2048,67.17
128,4096,89.18
128,8192,141.92
128,16384,115.52
128,32768,206.71
128,65536,605.78
128,131072,1402.58
128,262144,3388.26
128,524288,4537.53
128,1048576,13125.12
256,2,37.88
256,4,38.79
256,8,38.50
256,16,39.29
256,32,39.15
256,64,40.66
256,128,78.87
256,256,82.31
256,512,83.29
256,1024,92.01
256,2048,131.77
256,4096,166.80
256,8192,246.16
256,16384,133.02
256,32768,233.49
256,65536,512.76
