Processes,Size,Latency
2,2,0.16
2,4,0.16
2,8,0.15
2,16,0.15
2,32,0.15
2,64,0.15
2,128,0.25
2,256,0.26
2,512,0.28
2,1024,0.30
2,2048,0.34
2,4096,0.43
2,8192,0.59
2,16384,3.76
2,32768,4.38
2,65536,5.85
2,131072,10.91
2,262144,21.93
2,524288,43.68
2,1048576,86.95
4,2,0.18
4,4,0.18
4,8,0.18
4,16,0.18
4,32,0.18
4,64,0.18
4,128,0.35
4,256,0.36
4,512,0.39
4,1024,0.44
4,2048,0.53
4,4096,0.73
4,8192,1.13
4,16384,6.10
4,32768,7.60
4,65536,10.23
4,131072,17.28
4,262144,35.73
4,524288,75.12
4,1048576,146.63
8,2,0.85
8,4,0.98
8,8,0.87
8,16,0.90
8,32,0.99
8,64,0.94
8,128,1.30
8,256,1.30
8,512,1.48
8,1024,1.61
8,2048,2.22
8,4096,2.91
8,8192,4.90
8,16384,13.03
8,32768,19.05
8,65536,34.28
8,131072,66.14
8,262144,124.18
8,524288,237.54
8,1048576,451.47
16,2,1.18
16,4,1.39
16,8,1.20
16,16,1.21
16,32,1.44
16,64,1.42
16,128,2.16
16,256,2.18
16,512,2.41
16,1024,2.59
16,2048,3.40
16,4096,5.27
16,8192,9.39
16,16384,20.63
16,32768,34.63
16,65536,63.55
16,131072,120.64
16,262144,234.60
16,524288,461.74
16,1048576,868.02
32,2,1.81
32,4,1.86
32,8,1.84
32,16,1.82
32,32,2.04
32,64,2.03
32,128,3.18
32,256,3.28
32,512,3.57
32,1024,3.84
32,2048,5.77
32,4096,8.41
32,8192,15.44
32,16384,35.21
32,32768,61.60
32,65536,115.96
32,131072,227.07
32,262144,459.65
32,524288,881.28
32,1048576,1674.62
64,2,2.59
64,4,2.36
64,8,2.36
64,16,2.35
64,32,2.87
64,64,2.87
64,128,4.02
64,256,4.19
64,512,4.63
64,1024,5.02
64,2048,7.54
64,4096,13.80
64,8192,23.82
64,16384,63.96
64,32768,113.00
64,65536,211.73
64,131072,419.33
64,262144,860.68
64,524288,1427.16
64,1048576,2802.84
128,2,3.76
128,4,3.81
128,8,3.58
128,16,3.93
128,32,4.07
128,64,4.38
128,128,6.04
128,256,6.48
128,512,6.80
128,1024,6.78
128,2048,10.26
128,4096,19.11
128,8192,35.77
128,16384,95.89
128,32768,170.77
128,65536,339.71
128,131072,671.24
128,262144,1230.92
128,524288,2243.47
