Processes,Size,Latency
2,2,0.17
2,4,0.17
2,8,0.18
2,16,0.17
2,32,0.17
2,64,0.17
2,128,0.26
2,256,0.24
2,512,0.28
2,1024,0.31
2,2048,0.36
2,4096,0.48
2,8192,0.71
2,16384,4.47
2,32768,5.06
2,65536,7.05
2,131072,13.24
2,262144,27.75
2,524288,58.24
2,1048576,110.32
4,2,0.40
4,4,0.37
4,8,0.37
4,16,0.40
4,32,0.44
4,64,0.43
4,128,0.79
4,256,0.87
4,512,1.06
4,1024,1.22
4,2048,1.96
4,4096,2.71
4,8192,4.78
4,16384,8.13
4,32768,10.49
4,65536,14.49
4,131072,30.87
4,262144,55.32
4,524288,198.09
4,1048576,253.17
8,2,2.17
8,4,2.26
8,8,2.15
8,16,2.21
8,32,2.25
8,64,2.16
8,128,3.51
8,256,3.75
8,512,4.04
8,1024,4.05
8,2048,6.21
8,4096,8.38
8,8192,12.63
8,16384,9.76
8,32768,18.43
8,65536,57.32
8,131072,95.60
8,262144,299.97
8,524288,392.31
8,1048576,491.31
16,2,2.95
16,4,2.89
16,8,2.89
16,16,2.87
16,32,3.37
16,64,3.31
16,128,5.84
16,256,5.99
16,512,6.73
16,1024,7.32
16,2048,10.56
16,4096,14.32
16,8192,22.77
16,16384,20.23
16,32768,31.27
16,65536,106.60
16,131072,238.41
16,262144,334.84
16,524288,423.11
16,1048576,646.02
32,2,4.81
32,4,4.97
32,8,4.77
32,16,4.95
32,32,5.67
32,64,5.55
32,128,11.34
32,256,11.84
32,512,12.42
32,1024,13.42
32,2048,19.31
32,4096,26.45
32,8192,41.94
32,16384,42.12
32,32768,83.60
32,65536,207.20
32,131072,259.84
32,262144,414.27
32,524288,653.33
32,1048576,1034.74
64,2,8.13
64,4,8.35
64,8,8.04
64,16,8.34
64,32,9.28
64,64,8.99
64,128,23.44
64,256,24.32
64,512,23.54
64,1024,24.74
64,2048,39.30
64,4096,52.05
64,8192,83.59
64,16384,83.47
64,32768,127.43
64,65536,234.99
64,131072,274.95
64,262144,535.71
64,524288,1082.38
64,1048576,1932.55
128,2,16.54
128,4,16.80
128,8,17.83
128,16,17.98
128,32,18.94
128,64,18.05
128,128,47.84
128,256,48.63
128,512,53.21
128,1024,49.72
