Processes,Size,Latency
2,2,0.16
2,4,0.15
2,8,0.15
2,16,0.15
2,32,0.15
2,64,0.14
2,128,0.22
2,256,0.21
2,512,0.26
2,1024,0.29
2,2048,0.33
2,4096,0.43
2,8192,0.67
2,16384,1.30
2,32768,2.31
2,65536,4.24
2,131072,8.37
2,262144,27.33
2,524288,57.04
2,1048576,111.01
4,2,0.37
4,4,0.36
4,8,0.37
4,16,0.36
4,32,0.45
4,64,0.47
4,128,0.81
4,256,0.74
4,512,0.94
4,1024,1.20
4,2048,1.79
4,4096,2.76
4,8192,4.77
4,16384,8.33
4,32768,15.29
4,65536,30.61
4,131072,55.87
4,262144,83.74
4,524288,198.16
4,1048576,386.87
8,2,2.30
8,4,2.16
8,8,2.15
8,16,2.18
8,32,2.20
8,64,2.31
8,128,3.78
8,256,3.88
8,512,3.57
8,1024,4.09
8,2048,6.28
8,4096,7.98
8,8192,12.25
8,16384,22.07
8,32768,38.96
8,65536,70.49
8,131072,138.28
8,262144,261.15
8,524288,525.15
8,1048576,1133.27
16,2,2.94
16,4,2.88
16,8,2.87
16,16,2.91
16,32,3.39
16,64,3.27
16,128,5.77
16,256,5.99
16,512,6.72
16,1024,7.34
16,2048,10.58
16,4096,14.32
16,8192,22.77
16,16384,42.14
16,32768,78.10
16,65536,152.32
16,131072,281.90
16,262144,611.01
16,524288,988.46
16,1048576,2434.92
32,2,4.76
32,4,4.89
32,8,4.89
32,16,4.99
32,32,5.70
32,64,5.37
32,128,11.00
32,256,11.91
32,512,12.79
32,1024,12.96
32,2048,19.27
32,4096,26.45
32,8192,42.41
32,16384,81.08
32,32768,151.38
32,65536,272.93
32,131072,522.06
32,262144,1220.84
32,524288,2769.59
32,1048576,4830.02
64,2,8.72
64,4,8.72
64,8,8.61
64,16,8.62
64,32,9.28
64,64,9.15
64,128,23.97
64,256,24.16
64,512,23.60
64,1024,26.15
64,2048,39.15
64,4096,51.53
64,8192,83.51
64,16384,153.12
64,32768,297.39
64,65536,522.93
64,131072,1026.04
64,262144,1948.19
64,524288,3768.15
64,1048576,6562.42
128,2,17.02
128,4,17.97
128,8,16.95
128,16,17.21
128,32,19.45
128,64,18.74
128,128,48.04
128,256,49.63
128,512,47.28
