Processes,Size,Latency
2,2,0.18
2,4,0.18
2,8,0.19
2,16,0.18
2,32,0.20
2,64,0.26
2,128,0.31
2,256,0.29
2,512,0.33
2,1024,0.42
2,2048,0.53
2,4096,0.83
2,8192,1.33
2,16384,3.08
2,32768,5.17
2,65536,6.62
2,131072,9.95
2,262144,15.70
2,524288,28.42
2,1048576,63.68
4,2,0.31
4,4,0.34
4,8,0.36
4,16,0.35
4,32,0.59
4,64,0.55
4,128,1.06
4,256,1.13
4,512,1.24
4,1024,1.56
4,2048,2.48
4,4096,3.77
4,8192,5.83
4,16384,8.88
4,32768,13.09
4,65536,20.56
4,131072,35.92
4,262144,68.42
4,524288,153.80
4,1048576,273.95
6,2,0.64
6,4,0.63
6,8,0.63
6,16,0.62
6,32,0.69
6,64,0.77
6,128,1.58
6,256,1.62
6,512,1.88
6,1024,2.32
6,2048,3.37
6,4096,5.10
6,8192,7.94
6,16384,10.92
6,32768,16.86
6,65536,32.56
6,131072,65.02
6,262144,134.57
6,524288,290.31
6,1048576,414.30
8,2,1.15
8,4,1.20
8,8,1.11
8,16,1.14
8,32,1.30
8,64,1.32
8,128,2.50
8,256,2.73
8,512,2.79
8,1024,3.59
8,2048,4.62
8,4096,6.75
8,8192,10.15
8,16384,13.27
8,32768,22.15
8,65536,42.13
8,131072,88.42
8,262144,181.82
8,524288,368.05
8,1048576,619.40
10,2,1.45
10,4,1.41
10,8,1.41
10,16,1.45
10,32,1.64
10,64,1.55
10,128,3.02
10,256,3.11
10,512,3.40
10,1024,4.71
10,2048,5.78
10,4096,8.00
10,8192,12.34
10,16384,15.10
10,32768,26.35
10,65536,50.29
10,131072,102.78
10,262144,212.98
10,524288,435.86
10,1048576,716.18
12,2,1.53
12,4,1.50
12,8,1.47
12,16,1.44
12,32,1.67
12,64,1.71
12,128,3.25
12,256,3.37
12,512,3.72
12,1024,5.19
12,2048,6.50
12,4096,9.11
12,8192,14.31
12,16384,17.33
12,32768,28.90
12,65536,58.25
12,131072,124.93
12,262144,238.78
12,524288,513.84
12,1048576,796.89
14,2,1.56
14,4,1.51
14,8,1.45
14,16,1.55
14,32,1.86
14,64,1.64
14,128,3.58
14,256,3.71
14,512,4.12
14,1024,5.86
14,2048,7.13
14,4096,10.06
14,8192,15.39
