Processes,Size,Latency
2,2,0.21
2,4,0.19
2,8,0.20
2,16,0.20
2,32,0.22
2,64,0.22
2,128,0.31
2,256,0.34
2,512,0.36
2,1024,0.41
2,2048,0.56
2,4096,0.87
2,8192,1.62
2,16384,2.86
2,32768,5.19
2,65536,10.11
2,131072,19.04
2,262144,24.95
2,524288,48.93
2,1048576,113.16
4,2,0.36
4,4,0.36
4,8,0.39
4,16,0.35
4,32,0.63
4,64,0.58
4,128,1.09
4,256,1.14
4,512,1.34
4,1024,1.60
4,2048,2.53
4,4096,3.98
4,8192,6.22
4,16384,11.05
4,32768,20.71
4,65536,39.93
4,131072,79.80
4,262144,53.98
4,524288,102.95
4,1048576,234.13
6,2,0.65
6,4,0.64
6,8,0.64
6,16,0.62
6,32,0.71
6,64,0.73
6,128,1.60
6,256,1.66
6,512,1.96
6,1024,2.34
6,2048,3.50
6,4096,5.25
6,8192,8.24
6,16384,14.91
6,32768,28.05
6,65536,54.43
6,131072,106.90
6,262144,70.74
6,524288,144.98
6,1048576,360.47
8,2,1.15
8,4,1.12
8,8,1.13
8,16,1.16
8,32,1.29
8,64,1.35
8,128,2.56
8,256,2.61
8,512,2.86
8,1024,3.59
8,2048,4.85
8,4096,6.95
8,8192,10.58
8,16384,19.44
8,32768,36.76
8,65536,70.75
8,131072,137.06
8,262144,93.76
8,524288,189.54
8,1048576,458.65
10,2,1.46
10,4,1.43
10,8,1.43
10,16,1.45
10,32,1.62
10,64,1.54
10,128,3.00
10,256,3.12
10,512,3.61
10,1024,4.69
10,2048,5.96
10,4096,8.34
10,8192,12.69
10,16384,22.87
10,32768,42.80
10,65536,83.35
10,131072,166.90
10,262144,109.76
10,524288,223.79
10,1048576,564.35
12,2,1.48
12,4,1.46
12,8,1.53
12,16,1.47
12,32,1.67
12,64,1.69
12,128,3.34
12,256,3.41
12,512,4.03
12,1024,5.22
12,2048,6.84
12,4096,9.51
12,8192,14.47
12,16384,26.70
12,32768,50.41
12,65536,95.47
12,131072,197.06
12,262144,126.24
12,524288,267.51
12,1048576,657.93
14,2,1.51
14,4,1.56
14,8,1.55
14,16,1.56
14,32,1.79
14,64,1.66
14,128,3.71
14,256,3.74
14,512,4.39
14,1024,5.87
14,2048,7.49
14,4096,10.48
14,8192,16.03
14,16384,29.77
14,32768,57.84
14,65536,110.76
14,131072,227.13
14,262144,148.05
14,524288,306.11
14,1048576,765.88
16,2,1.83
16,4,1.84
16,8,1.80
16,16,1.86
16,32,2.11
16,64,2.02
16,128,4.31
16,256,4.37
16,512,5.02
16,1024,6.63
16,2048,8.56
16,4096,11.87
16,8192,18.32
16,16384,33.68
16,32768,64.49
16,65536,126.55
16,131072,262.28
16,262144,170.01
16,524288,340.03
16,1048576,875.07
18,2,2.18
18,4,2.09
18,8,2.12
18,16,2.46
18,32,2.39
18,64,2.25
18,128,4.75
18,256,4.96
18,512,5.79
18,1024,7.71
18,2048,9.50
18,4096,13.16
18,8192,20.29
18,16384,37.44
18,32768,71.07
18,65536,143.42
18,131072,286.68
18,262144,187.50
18,524288,375.25
18,1048576,1010.33
20,2,2.23
20,4,2.20
20,8,2.29
20,16,2.23
20,32,2.47
20,64,2.34
20,128,5.12
20,256,5.23
20,512,6.19
20,1024,8.13
20,2048,10.32
20,4096,14.52
20,8192,22.13
20,16384,40.38
20,32768,79.79
20,65536,155.74
20,131072,317.16
20,262144,203.40
20,524288,403.30
20,1048576,1127.01
22,2,2.29
22,4,2.28
22,8,2.26
22,16,2.34
22,32,2.59
22,64,2.41
22,128,5.51
22,256,5.61
22,512,6.62
22,1024,8.81
22,2048,11.04
22,4096,15.89
22,8192,23.64
22,16384,45.21
22,32768,85.19
22,65536,170.48
22,131072,340.99
22,262144,219.14
22,524288,439.29
22,1048576,1302.32
24,2,2.53
24,4,2.53
24,8,2.75
24,16,2.43
24,32,2.74
24,64,2.66
24,128,5.91
24,256,6.15
24,512,7.06
24,1024,9.47
24,2048,12.07
24,4096,16.67
24,8192,25.56
24,16384,47.58
24,32768,90.46
24,65536,188.12
24,131072,370.67
24,262144,245.23
24,524288,482.57
24,1048576,1556.68
26,2,2.22
26,4,2.43
26,8,2.27
26,16,2.28
26,32,2.60
26,64,2.58
26,128,6.04
26,256,6.29
26,512,7.25
26,1024,9.77
26,2048,12.78
26,4096,17.74
26,8192,27.89
26,16384,51.30
26,32768,98.61
26,65536,202.14
26,131072,394.51
26,262144,262.26
26,524288,532.55
26,1048576,1668.65
28,2,2.33
28,4,2.29
28,8,2.32
28,16,2.31
28,32,2.65
28,64,2.59
28,128,6.19
28,256,6.44
28,512,7.63
28,1024,10.46
28,2048,13.28
28,4096,18.82
28,8192,28.92
28,16384,54.15
28,32768,104.78
28,65536,214.11
28,131072,425.52
28,262144,286.89
28,524288,569.41
28,1048576,1757.34
30,2,2.34
30,4,2.52
30,8,2.34
30,16,2.31
30,32,2.64
30,64,2.56
30,128,6.40
30,256,6.62
30,512,7.86
30,1024,10.95
30,2048,13.97
30,4096,19.42
30,8192,30.25
30,16384,56.43
30,32768,108.52
30,65536,223.56
30,131072,448.39
30,262144,312.62
30,524288,619.83
30,1048576,1882.00
32,2,3.40
32,4,3.89
32,8,3.49
32,16,3.42
32,32,3.60
32,64,3.59
32,128,7.56
32,256,7.99
32,512,9.32
32,1024,12.26
32,2048,15.37
32,4096,21.74
32,8192,33.26
32,16384,61.55
32,32768,120.21
32,65536,245.35
32,131072,495.33
32,262144,344.86
32,524288,676.84
32,1048576,2034.27
34,2,5.22
34,4,5.14
34,8,5.17
34,16,5.19
34,32,5.63
34,64,5.49
34,128,9.69
34,256,9.84
34,512,11.13
34,1024,14.38
34,2048,17.45
34,4096,24.08
34,8192,35.97
34,16384,64.53
34,32768,127.86
34,65536,262.12
34,131072,508.86
34,262144,374.08
34,524288,730.40
34,1048576,2161.69
36,2,5.35
36,4,5.13
36,8,5.19
36,16,5.08
36,32,5.44
36,64,5.46
36,128,9.60
36,256,10.11
36,512,11.36
36,1024,14.67
36,2048,18.18
36,4096,25.05
36,8192,37.21
36,16384,67.55
36,32768,132.08
36,65536,269.35
36,131072,532.49
36,262144,397.45
36,524288,793.74
36,1048576,2287.02
38,2,5.26
38,4,5.12
38,8,5.11
38,16,5.18
38,32,5.39
38,64,5.53
38,128,9.76
38,256,10.21
38,512,11.57
38,1024,14.89
38,2048,18.56
38,4096,25.12
38,8192,38.23
38,16384,69.75
38,32768,137.86
38,65536,278.76
38,131072,567.98
38,262144,421.56
38,524288,839.18
38,1048576,2386.97
40,2,5.22
40,4,5.09
40,8,5.18
40,16,5.16
40,32,5.42
40,64,5.44
40,128,10.16
40,256,10.49
40,512,11.84
40,1024,15.14
40,2048,18.87
40,4096,26.21
40,8192,39.63
40,16384,72.57
40,32768,145.12
40,65536,287.27
40,131072,592.04
40,262144,448.80
40,524288,901.52
40,1048576,2525.12
42,2,5.49
42,4,5.24
42,8,5.05
42,16,5.19
42,32,5.45
42,64,5.52
42,128,10.14
42,256,10.52
42,512,11.95
42,1024,15.28
42,2048,19.47
42,4096,26.28
42,8192,40.09
42,16384,75.31
42,32768,148.43
42,65536,302.38
42,131072,609.08
42,262144,478.35
42,524288,960.65
42,1048576,2572.95
44,2,5.35
44,4,5.21
44,8,5.15
44,16,5.06
44,32,5.34
44,64,5.54
44,128,10.01
44,256,10.69
44,512,12.13
44,1024,15.33
44,2048,19.67
44,4096,27.77
44,8192,42.42
44,16384,76.93
44,32768,155.33
44,65536,311.49
44,131072,642.11
44,262144,513.30
44,524288,995.83
44,1048576,2708.13
46,2,5.31
46,4,5.13
46,8,5.14
46,16,5.13
46,32,5.64
46,64,5.55
46,128,10.43
46,256,10.79
46,512,12.33
46,1024,15.68
46,2048,19.97
46,4096,27.66
46,8192,42.09
46,16384,79.88
46,32768,158.72
46,65536,328.50
46,131072,
46,262144,
46,524288,
46,1048576,
48,2,
48,4,
48,8,
48,16,
48,32,
48,64,
48,128,
48,256,
48,512,
48,1024,
48,2048,
48,4096,
48,8192,
48,16384,
48,32768,
48,65536,
48,131072,
48,262144,
48,524288,
48,1048576,
