Processes,Size,Latency
2,1,0.22
2,2,0.21
2,4,0.20
2,8,0.19
2,16,0.20
2,32,0.24
2,64,0.23
2,128,0.32
2,256,0.35
2,512,0.36
2,1024,0.44
2,2048,0.55
2,4096,0.85
2,8192,1.37
2,16384,3.07
4,1,0.79
4,2,0.79
4,4,0.78
4,8,0.79
4,16,0.83
4,32,1.23
4,64,1.23
4,128,1.79
4,256,1.97
4,512,2.16
4,1024,2.57
4,2048,3.53
4,4096,5.34
4,8192,8.32
4,16384,16.29
6,1,1.41
6,2,1.46
6,4,1.49
6,8,1.45
6,16,1.41
6,32,2.44
6,64,2.23
6,128,3.11
6,256,3.22
6,512,3.65
6,1024,4.30
6,2048,5.69
6,4096,8.32
6,8192,13.15
6,16384,26.87
8,1,2.13
8,2,2.14
8,4,2.19
8,8,2.20
8,16,2.20
8,32,3.31
8,64,3.08
8,128,4.55
8,256,4.65
8,512,5.15
8,1024,6.04
8,2048,8.12
8,4096,11.37
8,8192,17.88
8,16384,34.36
10,1,3.05
10,2,3.08
10,4,3.05
10,8,3.28
10,16,3.08
10,32,4.18
10,64,3.92
10,128,6.11
10,256,6.27
10,512,7.00
10,1024,8.18
10,2048,10.69
10,4096,14.71
10,8192,22.89
10,16384,44.64
12,1,3.47
12,2,3.47
12,4,3.49
12,8,3.53
12,16,3.43
12,32,5.14
12,64,4.64
12,128,7.12
12,256,7.30
12,512,8.32
12,1024,10.04
12,2048,12.81
12,4096,17.59
12,8192,27.48
12,16384,50.78
14,1,3.81
14,2,3.83
14,4,4.18
14,8,3.81
14,16,3.80
14,32,5.93
14,64,4.98
14,128,8.30
14,256,8.58
14,512,9.73
14,1024,11.46
14,2048,14.82
14,4096,20.37
14,8192,31.80
14,16384,59.84
16,1,4.38
16,2,4.34
16,4,5.15
16,8,4.34
16,16,4.41
16,32,6.55
16,64,5.99
16,128,9.83
16,256,9.85
16,512,11.18
16,1024,12.74
16,2048,16.64
16,4096,23.03
16,8192,36.38
16,16384,68.50
18,1,5.27
18,2,5.23
18,4,5.24
18,8,5.14
18,16,5.21
18,32,7.77
18,64,7.04
18,128,11.13
18,256,11.43
18,512,12.66
18,1024,14.85
18,2048,19.15
18,4096,26.47
18,8192,41.13
18,16384,76.67
20,1,5.75
20,2,5.95
20,4,5.75
20,8,5.73
20,16,5.74
20,32,8.40
20,64,7.69
20,128,12.54
20,256,12.81
20,512,14.25
20,1024,16.69
20,2048,21.65
20,4096,29.37
20,8192,45.61
20,16384,84.39
22,1,6.01
22,2,6.52
22,4,6.14
22,8,6.12
22,16,6.03
22,32,9.07
22,64,8.21
22,128,13.74
22,256,13.84
22,512,15.45
22,1024,18.38
22,2048,23.61
22,4096,32.07
22,8192,50.14
22,16384,91.86
24,1,6.72
24,2,7.39
24,4,6.70
24,8,6.71
24,16,6.65
24,32,10.24
24,64,9.11
24,128,15.15
24,256,15.61
24,512,17.15
24,1024,20.52
24,2048,26.13
24,4096,35.28
24,8192,54.74
24,16384,100.60
26,1,6.84
26,2,6.66
26,4,6.70
26,8,6.74
26,16,6.66
26,32,10.53
26,64,9.29
26,128,15.87
26,256,16.33
26,512,17.99
26,1024,21.63
26,2048,27.77
26,4096,37.63
26,8192,58.81
26,16384,109.69
28,1,7.20
28,2,7.23
28,4,7.17
28,8,7.22
28,16,7.20
28,32,11.29
28,64,10.00
28,128,17.19
28,256,17.67
28,512,19.49
28,1024,23.18
28,2048,29.98
28,4096,40.72
28,8192,63.47
28,16384,118.85
30,1,7.44
30,2,7.48
30,4,7.47
30,8,7.48
30,16,7.43
30,32,12.39
30,64,10.55
30,128,18.07
30,256,18.46
30,512,20.56
30,1024,25.12
30,2048,31.97
30,4096,43.34
30,8192,67.47
30,16384,123.02
32,1,9.19
32,2,9.10
32,4,9.18
32,8,9.27
32,16,9.30
32,32,14.06
32,64,12.43
32,128,20.91
32,256,20.74
32,512,22.79
32,1024,27.06
32,2048,34.77
32,4096,47.46
32,8192,74.45
32,16384,135.95
34,1,12.45
34,2,11.12
34,4,11.20
34,8,11.15
34,16,11.16
34,32,15.62
34,64,14.52
34,128,24.05
34,256,23.99
34,512,25.36
34,1024,29.85
34,2048,38.20
34,4096,51.39
34,8192,80.24
34,16384,144.65
36,1,12.98
36,2,11.46
36,4,11.49
36,8,11.56
36,16,11.47
36,32,16.24
36,64,15.09
36,128,25.44
36,256,24.81
36,512,26.75
36,1024,31.60
36,2048,40.29
36,4096,54.72
36,8192,84.20
36,16384,152.37
38,1,13.31
38,2,11.96
38,4,11.86
38,8,11.78
38,16,12.33
38,32,16.66
38,64,15.41
38,128,25.80
38,256,26.20
38,512,27.92
38,1024,32.91
38,2048,42.47
38,4096,57.42
38,8192,88.71
38,16384,161.12
40,1,13.72
40,2,12.24
40,4,12.26
40,8,12.30
40,16,12.33
40,32,16.88
40,64,15.97
40,128,26.68
40,256,27.42
40,512,29.22
40,1024,34.82
40,2048,44.57
40,4096,60.41
40,8192,92.87
40,16384,166.75
42,1,14.08
42,2,13.08
42,4,12.60
42,8,12.47
42,16,12.66
42,32,17.82
42,64,16.53
42,128,28.20
42,256,28.23
42,512,30.64
42,1024,36.69
42,2048,46.55
42,4096,63.17
42,8192,96.87
42,16384,175.74
44,1,14.38
44,2,12.97
44,4,12.93
44,8,12.95
44,16,12.94
44,32,18.05
44,64,17.31
44,128,29.05
44,256,29.97
44,512,31.97
44,1024,37.97
44,2048,48.86
44,4096,65.82
44,8192,101.94
44,16384,185.33
46,1,15.20
46,2,13.24
46,4,13.44
46,8,13.42
46,16,13.35
46,32,18.94
46,64,18.36
46,128,30.09
46,256,30.44
46,512,33.10
46,1024,40.21
46,2048,50.49
46,4096,68.78
46,8192,106.01
46,16384,191.75
48,1,15.01
48,2,13.84
48,4,13.87
48,8,13.75
48,16,13.81
48,32,20.19
48,64,18.43
48,128,31.97
48,256,32.18
48,512,35.07
48,1024,42.61
48,2048,53.03
48,4096,72.52
48,8192,111.57
48,16384,202.06
