Processes,Size,Latency
2,2,0.21
2,4,0.20
2,8,0.19
2,16,0.21
2,32,0.24
2,64,0.23
2,128,0.31
2,256,0.34
2,512,0.37
2,1024,0.44
2,2048,0.59
2,4096,0.85
2,8192,1.37
2,16384,3.06
2,32768,5.17
2,65536,6.96
2,131072,9.82
2,262144,15.34
2,524288,28.59
2,1048576,59.86
4,2,0.54
4,4,0.52
4,8,0.55
4,16,0.56
4,32,0.78
4,64,0.74
4,128,1.10
4,256,1.15
4,512,1.32
4,1024,1.56
4,2048,2.45
4,4096,3.50
4,8192,5.26
4,16384,9.30
4,32768,15.74
4,65536,20.60
4,131072,29.51
4,262144,49.03
4,524288,110.77
4,1048576,223.70
6,2,0.81
6,4,0.82
6,8,0.83
6,16,0.80
6,32,0.97
6,64,0.98
6,128,1.50
6,256,1.54
6,512,1.75
6,1024,2.07
6,2048,3.06
6,4096,4.34
6,8192,6.46
6,16384,11.76
6,32768,18.07
6,65536,30.23
6,131072,52.83
6,262144,96.79
6,524288,179.33
6,1048576,335.73
8,2,0.92
8,4,0.92
8,8,0.96
8,16,0.96
8,32,1.47
8,64,1.24
8,128,1.80
8,256,1.84
8,512,2.19
8,1024,2.37
8,2048,3.39
8,4096,4.72
8,8192,7.25
8,16384,12.97
8,32768,20.35
8,65536,35.55
8,131072,60.47
8,262144,108.51
8,524288,210.00
8,1048576,387.98
10,2,1.22
10,4,1.21
10,8,1.19
10,16,1.20
10,32,1.48
10,64,1.45
10,128,2.20
10,256,2.09
10,512,2.34
10,1024,2.82
10,2048,3.81
10,4096,5.43
10,8192,8.05
10,16384,15.73
10,32768,22.71
10,65536,40.04
10,131072,70.82
10,262144,123.07
10,524288,232.53
10,1048576,450.15
12,2,1.18
12,4,1.15
12,8,1.17
12,16,1.16
12,32,1.48
12,64,1.47
12,128,2.02
12,256,2.10
12,512,2.30
12,1024,2.89
12,2048,4.00
12,4096,5.45
12,8192,8.27
12,16384,16.64
12,32768,24.62
12,65536,44.74
12,131072,78.06
12,262144,135.75
12,524288,251.69
12,1048576,453.71
14,2,1.17
14,4,1.19
14,8,1.13
14,16,1.20
14,32,1.50
14,64,1.69
14,128,2.14
14,256,2.15
14,512,2.41
14,1024,3.01
14,2048,4.08
14,4096,5.94
14,8192,8.82
14,16384,16.96
14,32768,26.54
14,65536,46.17
14,131072,81.53
14,262144,146.93
14,524288,316.68
14,1048576,496.43
16,2,1.22
16,4,1.18
16,8,1.21
16,16,1.18
16,32,1.61
16,64,1.73
16,128,2.27
16,256,2.29
16,512,2.49
16,1024,2.98
16,2048,4.22
16,4096,6.01
16,8192,9.13
16,16384,17.91
16,32768,28.07
16,65536,49.03
16,131072,84.58
16,262144,153.02
16,524288,292.16
16,1048576,542.78
18,2,1.42
18,4,1.42
18,8,1.43
18,16,1.46
18,32,2.11
18,64,1.83
18,128,2.48
18,256,2.61
18,512,2.79
18,1024,3.27
18,2048,4.52
18,4096,6.33
18,8192,9.79
18,16384,18.89
18,32768,29.71
18,65536,50.22
18,131072,87.43
18,262144,161.74
18,524288,292.26
18,1048576,553.91
20,2,1.46
20,4,1.46
20,8,1.48
20,16,1.43
20,32,1.77
20,64,1.75
20,128,2.54
20,256,2.56
20,512,2.81
20,1024,3.40
20,2048,4.60
20,4096,6.65
20,8192,9.94
20,16384,20.42
20,32768,32.18
20,65536,52.41
20,131072,95.61
20,262144,165.88
20,524288,323.01
20,1048576,624.16
22,2,1.43
22,4,1.39
22,8,1.38
22,16,1.42
22,32,1.68
22,64,1.80
22,128,2.43
22,256,2.55
22,512,2.85
22,1024,3.44
22,2048,4.81
22,4096,6.95
22,8192,10.39
22,16384,20.96
22,32768,31.91
22,65536,55.82
22,131072,97.63
22,262144,184.16
22,524288,323.88
22,1048576,618.91
24,2,1.47
24,4,1.42
24,8,1.41
24,16,1.40
24,32,2.01
24,64,1.72
24,128,2.50
24,256,2.58
24,512,2.84
24,1024,3.45
24,2048,4.83
24,4096,6.94
24,8192,10.56
24,16384,21.63
24,32768,33.54
24,65536,57.48
24,131072,102.07
24,262144,178.17
24,524288,331.06
24,1048576,632.40
26,2,1.52
26,4,1.51
26,8,1.63
26,16,1.48
26,32,1.72
26,64,1.75
26,128,2.49
26,256,2.57
26,512,2.81
26,1024,3.50
26,2048,4.89
26,4096,7.11
26,8192,11.00
26,16384,21.75
26,32768,34.20
26,65536,57.73
26,131072,101.07
26,262144,188.78
26,524288,344.03
26,1048576,657.22
28,2,1.50
28,4,1.73
28,8,1.48
28,16,1.51
28,32,1.71
28,64,1.79
28,128,2.41
28,256,2.53
28,512,2.68
28,1024,3.45
28,2048,5.01
28,4096,7.13
28,8192,11.19
28,16384,21.76
28,32768,32.80
28,65536,58.80
28,131072,109.17
28,262144,208.61
28,524288,420.00
28,1048576,748.75
30,2,1.55
30,4,1.57
30,8,1.57
30,16,1.59
30,32,1.74
30,64,1.85
30,128,2.36
30,256,2.49
30,512,2.70
30,1024,3.39
30,2048,4.92
30,4096,7.52
30,8192,11.64
30,16384,22.34
30,32768,35.47
30,65536,59.90
30,131072,123.49
30,262144,221.12
30,524288,429.80
30,1048576,863.35
32,2,1.98
32,4,1.97
32,8,2.41
32,16,1.98
32,32,2.49
32,64,2.49
32,128,3.26
32,256,3.33
32,512,3.67
32,1024,4.32
32,2048,6.13
32,4096,8.58
32,8192,12.90
32,16384,24.19
32,32768,38.17
32,65536,68.33
32,131072,137.16
32,262144,247.22
32,524288,519.21
32,1048576,976.34
34,2,3.90
34,4,3.87
34,8,3.89
34,16,3.87
34,32,4.29
34,64,4.12
34,128,5.05
34,256,5.23
34,512,5.53
34,1024,6.25
34,2048,7.97
34,4096,10.58
34,8192,15.34
34,16384,27.20
34,32768,42.16
34,65536,73.92
34,131072,150.17
34,262144,298.07
34,524288,548.37
34,1048576,1085.52
36,2,3.52
36,4,3.84
36,8,3.52
36,16,3.54
36,32,3.87
36,64,3.97
36,128,4.82
36,256,4.98
36,512,5.24
36,1024,6.08
36,2048,8.03
36,4096,10.68
36,8192,15.89
36,16384,27.63
36,32768,45.05
36,65536,76.67
36,131072,173.14
36,262144,330.28
36,524288,625.38
36,1048576,1252.57
38,2,3.44
38,4,4.04
38,8,3.47
38,16,3.43
38,32,3.92
38,64,3.85
38,128,4.80
38,256,4.99
38,512,5.27
38,1024,6.24
38,2048,8.17
38,4096,11.17
38,8192,16.41
38,16384,29.14
38,32768,47.52
38,65536,82.75
38,131072,196.55
38,262144,371.51
38,524288,731.26
38,1048576,1427.46
40,2,3.30
40,4,3.38
40,8,3.31
40,16,3.26
40,32,3.67
40,64,3.82
40,128,4.66
40,256,4.91
40,512,5.24
40,1024,6.29
40,2048,8.29
40,4096,11.55
40,8192,17.18
40,16384,30.48
40,32768,49.34
40,65536,88.06
40,131072,217.76
40,262144,414.08
40,524288,813.87
40,1048576,1585.55
42,2,3.31
42,4,3.30
42,8,3.25
42,16,3.27
42,32,3.61
42,64,3.79
42,128,4.69
42,256,4.96
42,512,5.13
42,1024,6.33
42,2048,8.24
42,4096,11.76
42,8192,17.46
42,16384,31.06
42,32768,49.84
42,65536,92.58
42,131072,214.69
42,262144,419.18
42,524288,817.95
42,1048576,1603.24
44,2,3.17
44,4,3.12
44,8,3.09
44,16,3.11
44,32,3.48
44,64,3.58
44,128,4.57
44,256,4.73
44,512,5.08
44,1024,6.15
44,2048,8.40
44,4096,11.36
44,8192,17.67
44,16384,31.53
44,32768,50.97
44,65536,93.25
44,131072,217.05
44,262144,421.32
44,524288,838.17
44,1048576,1640.33
46,2,3.12
46,4,3.08
46,8,3.11
46,16,3.12
46,32,3.44
46,64,3.53
46,128,4.56
46,256,4.76
46,512,5.07
46,1024,6.18
46,2048,8.26
46,4096,11.75
46,8192,18.16
46,16384,32.31
46,32768,53.41
46,65536,94.47
46,131072,223.39
46,262144,424.95
46,524288,823.63
46,1048576,1704.01
48,2,3.46
48,4,3.05
48,8,3.04
48,16,3.01
48,32,3.35
48,64,3.65
48,128,4.53
48,256,4.77
48,512,5.09
48,1024,6.25
48,2048,8.31
48,4096,11.82
48,8192,18.70
48,16384,32.49
48,32768,55.91
48,65536,99.34
48,131072,230.90
48,262144,450.80
48,524288,893.16
48,1048576,1693.95
