Processes,Size,Latency
64,2,1.68
64,4,1.65
64,8,1.68
64,16,1.71
64,32,1.99
64,64,2.02
64,128,3.07
64,256,3.17
64,512,3.47
64,1024,3.85
64,2048,5.46
64,4096,11.09
64,8192,22.88
64,16384,42.84
64,32768,82.84
64,65536,166.68
64,131072,339.71
64,262144,698.88
64,524288,1414.50
64,1048576,2184.84
128,2,2.66
128,4,2.84
128,8,2.63
128,16,2.76
128,32,2.91
128,64,2.80
128,128,4.88
128,256,4.45
128,512,5.14
128,1024,5.06
128,2048,7.91
128,4096,16.63
128,8192,33.57
128,16384,63.41
128,32768,125.31
128,65536,267.14
128,131072,569.04
128,262144,1169.85
128,524288,2229.48
128,1048576,3772.89
256,2,4.44
256,4,4.46
256,8,4.46
256,16,4.49
256,32,4.64
256,64,7.83
256,128,9.46
256,256,10.27
256,512,13.61
256,1024,16.60
256,2048,22.90
256,4096,44.85
256,8192,87.46
256,16384,172.74
256,32768,474.51
256,65536,479.03
256,131072,1002.82
256,262144,2194.22
256,524288,4980.15
256,1048576,11345.85
