Processes,Size,Latency
2,2,0.15
2,4,0.14
2,8,0.14
2,16,0.14
2,32,0.15
2,64,0.15
2,128,0.23
2,256,0.25
2,512,0.27
2,1024,0.31
2,2048,0.35
2,4096,0.46
2,8192,0.71
2,16384,1.32
2,32768,2.39
2,65536,4.46
2,131072,12.76
2,262144,27.83
2,524288,57.28
2,1048576,111.92
4,2,0.61
4,4,0.61
4,8,0.61
4,16,0.65
4,32,0.71
4,64,1.10
4,128,1.23
4,256,1.24
4,512,1.43
4,1024,1.71
4,2048,2.02
4,4096,3.79
4,8192,4.72
4,16384,8.87
4,32768,9.74
4,65536,14.97
4,131072,26.85
4,262144,75.72
4,524288,182.50
4,1048576,277.72
8,2,1.71
8,4,1.75
8,8,1.86
8,16,2.09
8,32,2.20
8,64,2.43
8,128,2.98
8,256,3.20
8,512,3.90
8,1024,4.87
8,2048,7.09
8,4096,11.15
8,8192,19.11
8,16384,10.69
8,32768,19.29
8,65536,55.14
8,131072,130.10
8,262144,272.07
8,524288,308.97
8,1048576,689.23
16,2,2.13
16,4,1.94
16,8,2.44
16,16,2.48
16,32,2.91
16,64,3.20
16,128,3.72
16,256,4.05
16,512,5.31
16,1024,7.30
16,2048,11.32
16,4096,18.91
16,8192,30.54
16,16384,40.33
16,32768,37.35
16,65536,82.86
16,131072,255.28
16,262144,324.50
16,524288,446.47
16,1048576,460.76
32,2,2.27
32,4,2.70
32,8,2.73
32,16,2.95
32,32,3.63
32,64,3.89
32,128,4.70
32,256,5.69
32,512,12.30
32,1024,13.24
32,2048,19.39
32,4096,26.34
32,8192,65.10
32,16384,42.84
32,32768,70.28
32,65536,217.92
32,131072,264.15
32,262144,363.12
32,524288,571.55
32,1048576,960.39
64,2,2.00
64,4,1.98
64,8,2.75
64,16,3.03
64,32,3.63
64,64,3.93
64,128,5.00
64,256,7.16
64,512,24.12
64,1024,26.35
64,2048,38.99
64,4096,51.90
64,8192,82.13
64,16384,81.33
64,32768,133.82
64,65536,245.14
64,131072,283.19
64,262144,464.47
64,524288,868.99
64,1048576,1632.83
128,2,2.40
128,4,2.52
128,8,3.02
128,16,3.75
128,32,4.23
128,64,5.04
128,128,7.77
128,256,11.06
128,512,48.62
128,1024,50.49
128,2048,78.25
128,4096,104.46
128,8192,165.47
128,16384,199.52
128,32768,251.26
128,65536,324.91
128,131072,372.29
128,262144,922.75
128,524288,1971.58
128,1048576,3664.67
256,2,1.72
256,4,1.97
256,8,2.49
256,16,2.99
256,32,4.2
256,64,6.28
256,128,10.16
256,256,15.47
256,512,84.14
256,1024,93.25
256,2048,126.74
256,4096,164.9
256,8192,244.53
256,16384,127.03
256,32768,179.89
256,65536,325.55
256,131072,624.79
256,262144,1922.81
256,524288,4543.73
256,1048576,8533.67
