Processes,Size,Latency
2,2,0.16
2,4,0.15
2,8,0.15
2,16,0.15
2,32,0.15
2,64,0.16
2,128,0.21
2,256,0.22
2,512,0.27
2,1024,0.25
2,2048,0.33
2,4096,0.41
2,8192,0.58
2,16384,3.71
2,32768,4.23
2,65536,5.95
2,131072,10.35
2,262144,21.69
2,524288,43.23
2,1048576,82.65
4,2,0.16
4,4,0.16
4,8,0.15
4,16,0.15
4,32,0.16
4,64,0.15
4,128,0.26
4,256,0.28
4,512,0.32
4,1024,0.34
4,2048,0.49
4,4096,0.69
4,8192,1.10
4,16384,4.16
4,32768,5.02
4,65536,7.87
4,131072,15.87
4,262144,35.25
4,524288,76.84
4,1048576,157.56
8,2,0.83
8,4,0.83
8,8,0.91
8,16,0.84
8,32,0.90
8,64,0.94
8,128,1.27
8,256,1.38
8,512,1.46
8,1024,1.56
8,2048,2.04
8,4096,2.76
8,8192,3.93
8,16384,8.15
8,32768,12.48
8,65536,24.98
8,131072,50.49
8,262144,101.04
8,524288,225.20
8,1048576,448.25
16,2,1.21
16,4,1.21
16,8,1.23
16,16,1.14
16,32,1.43
16,64,1.38
16,128,1.91
16,256,1.95
16,512,2.17
16,1024,2.26
16,2048,3.08
16,4096,4.10
16,8192,5.88
16,16384,15.43
16,32768,25.26
16,65536,45.31
16,131072,89.29
16,262144,177.31
16,524288,395.87
16,1048576,763.43
32,2,1.90
32,4,1.86
32,8,1.84
32,16,1.92
32,32,2.06
32,64,2.05
32,128,2.88
32,256,2.86
32,512,3.17
32,1024,3.47
32,2048,4.48
32,4096,6.03
32,8192,9.35
32,16384,24.77
32,32768,39.49
32,65536,69.28
32,131072,130.45
32,262144,273.91
32,524288,578.64
32,1048576,1029.71
64,2,3.49
64,4,3.63
64,8,3.84
64,16,3.69
64,32,4.09
64,64,4.35
64,128,4.81
64,256,4.97
64,512,5.30
64,1024,5.75
64,2048,7.40
64,4096,9.46
64,8192,14.24
64,16384,44.39
64,32768,69.11
64,65536,118.98
64,131072,224.05
64,262144,451.54
64,524288,924.53
64,1048576,1799.05
128,2,9.26
128,4,7.63
128,8,7.68
128,16,7.53
128,32,7.92
128,64,8.07
128,128,9.59
128,256,9.34
128,512,10.52
128,1024,11.18
128,2048,14.39
128,4096,18.61
128,8192,27.55
128,16384,85.57
128,32768,131.74
128,65536,225.13
128,131072,420.89
128,262144,841.09
128,524288,1698.44
128,1048576,3284.13
256,2,7.26
256,4,7.17
256,8,7.14
256,16,7.03
256,32,8.06
256,64,7.82
256,128,11.34
256,256,11.91
256,512,13.58
256,1024,15.33
256,2048,20.44
256,4096,27.99
256,8192,43.57
256,16384,145.88
256,32768,220.42
256,65536,371.83
256,131072,692.31
256,262144,1378.76
256,524288,2770.72
256,1048576,5587.34
