OMP_NUM_THREADS,Execution_Time
2,0.9745
3,0.9785
4,0.9825
5,1.006303
6,1.011158
7,1.026698
8,1.0185
9,1.037804
10,1.0345
11,1.045072
12,1.0515
13,1.062595
14,1.0675
15,1.089305
16,1.078161
17,1.100547
18,1.0975
19,1.104928
20,1.1015
21,1.10932
22,1.1025
23,1.103856
24,1.1075
